Task ID,Task_Summary_Name,Start_Date,Finish_Date,Duration,Predecessors
1.8.4.2.9,Bridge No.116/5-Reconstruction (Abutment Type),2023 December 12 1:00 PM,2023 December 18 5:00 PM,5 days,"128,126FS+28d"
1.8.4.2.10,Bridge No.116/5-Reconstruction (Abutment Type),2023 December 19 8:00 AM,2024 January 09 12:00 PM,15 days,129
1.8.4.2.11,Bridge No.116/5-Reconstruction (Abutment Type),2024 January 09 1:00 PM,2024 February 05 12:00 PM,20 days,130
1.8.4.2.12,Bridge No.116/5-Reconstruction (Abutment Type),2024 February 05 1:00 PM,2024 February 13 5:00 PM,7 days,131
1.8.4.2.13,Bridge No.116/5-Reconstruction (Abutment Type),2024 February 14 8:00 AM,2024 March 04 5:00 PM,15 days,132
1.8.4.2.14,Bridge No.116/5-Reconstruction (Abutment Type),2024 March 05 8:00 AM,2024 March 29 12:00 PM,20 days,133
1.8.4.2.15,Bridge No.116/5-Reconstruction (Abutment Type),2024 March 29 1:00 PM,2024 May 21 12:00 PM,30 days,134
1.8.4.2.16,Bridge No.116/5-Reconstruction (Abutment Type),2024 May 21 1:00 PM,2024 June 05 12:00 PM,10 days,135
1.8.4.2.17,Bridge No.116/5-Reconstruction (Abutment Type),2024 June 05 1:00 PM,2024 July 27 12:00 PM,40 days,136
1.8.5,Civil Works,2023 June 21 1:00 PM,2024 June 20 12:00 PM,267 days,
1.8.5.1,Construction of Drains,2023 June 21 1:00 PM,2023 November 24 5:00 PM,120 days,58FS+20d
1.8.5.2,Construction of Drains,2023 July 12 8:00 AM,2023 December 29 12:00 PM,130 days,139FS-105d
1.8.5.3,Construction of Drains,2023 July 14 8:00 AM,2024 June 20 12:00 PM,250 days,157SS+30d
1.8.6,Civil Works,2023 June 05 1:00 PM,2024 August 12 5:00 PM,320 days,
1.8.6.1,Construction of Retaining Walls,2023 June 05 1:00 PM,2024 August 12 5:00 PM,320 days,68SS+30d
1.8.7,Civil Works,2023 January 05 1:00 PM,2024 September 24 5:00 PM,454 days,
1.8.7.1,Construction of Road Pavement,2023 March 29 8:00 AM,2023 August 28 12:00 PM,104 days,
1.8.7.1.1,Site Clearing,2023 March 29 8:00 AM,2023 April 29 12:00 PM,15 days,101
1.8.7.1.2,Site Clearing,2023 March 29 8:00 AM,2023 August 09 5:00 PM,90 days,146SS
